date,home_team,away_team,home_score,away_score,tournament,neutral,home_elo_before,away_elo_before,home_form,away_form,h2h_home_winrate
1990-02-28,France,Germany,2,1,Friendly,False,1529.656802312504,1500.0,3.0,1.0,0.5
1990-02-28,Egypt,Austria,0,0,Friendly,False,1499.3462084962437,1500.0,1.25,1.0,0.5
1990-03-01,Bahrain,Oman,0,0,Gulf Cup,True,1492.0522069248334,1501.4257496803282,0.5,1.0,0.5
1990-03-02,Algeria,Nigeria,5,1,African Cup of Nations,False,1530.4577350304596,1507.9755964318244,2.3333333333333335,2.0,0.5
1990-03-02,Ivory Coast,Egypt,3,1,African Cup of Nations,True,1492.0467647878186,1496.562258585136,1.0,1.2,0.5
1990-03-03,Cameroon,Zambia,0,1,African Cup of Nations,True,1489.0343667555417,1500.0,0.5,1.0,0.5
1990-03-03,Senegal,Kenya,0,0,African Cup of Nations,True,1512.822453574089,1503.0084655930757,2.0,1.5,0.5
1990-03-04,Oman,Qatar,2,4,Gulf Cup,True,1501.1560228722235,1499.1542455844742,1.0,1.0,0.5
1990-03-05,Algeria,Ivory Coast,3,0,African Cup of Nations,False,1542.8586273285296,1507.2417033503086,2.5,1.5,0.5
1990-03-05,Bahrain,United Arab Emirates,1,0,Gulf Cup,True,1492.321933732938,1479.1456460020668,0.6666666666666666,1.2,0.5
1990-03-05,Nigeria,Egypt,1,0,African Cup of Nations,True,1495.5747041337545,1481.367320022646,1.3333333333333333,0.6,0.5
1990-03-06,Cameroon,Senegal,0,2,African Cup of Nations,True,1479.349878293865,1512.5400593961429,0.3333333333333333,1.6666666666666667,0.5
1990-03-06,Mozambique,Angola,2,1,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-03-06,Zambia,Kenya,1,0,African Cup of Nations,True,1509.684488461677,1503.2908597710216,3.0,1.3333333333333333,0.5
1990-03-07,Lesotho,Zimbabwe,1,4,Friendly,True,1500.0,1500.0,1.0,1.0,0.5
1990-03-07,Kuwait,Qatar,2,0,Gulf Cup,False,1469.9499982559082,1514.240668300854,1.0,1.6666666666666667,0.5
1990-03-08,Algeria,Egypt,2,0,African Cup of Nations,False,1553.8547415357452,1471.776013632523,2.6,0.6,0.5
1990-03-08,Angola,Zimbabwe,0,2,Friendly,True,1492.8012999960577,1517.5,0.0,3.0,0.5
1990-03-08,Nigeria,Ivory Coast,1,0,African Cup of Nations,True,1505.1660105238775,1496.245589143093,1.75,1.2,1.0
1990-03-09,Cameroon,Kenya,2,0,African Cup of Nations,True,1465.7784705604738,1493.474862427305,0.25,1.0,0.5
1990-03-09,Kuwait,United Arab Emirates,6,1,Gulf Cup,False,1482.5652358561856,1469.5247083357426,1.6,1.0,0.5
1990-03-09,Zambia,Senegal,0,0,African Cup of Nations,True,1519.5004858053933,1526.111467129534,3.0,2.0,0.5
1990-03-10,Angola,Lesotho,3,1,Friendly,True,1478.8658359547096,1482.5,0.0,0.0,0.5
1990-03-10,Mozambique,Zimbabwe,3,1,Friendly,False,1507.1987000039423,1531.435464041348,3.0,3.0,0.5
1990-03-10,United States,Finland,2,1,Friendly,False,1473.0157141286045,1514.678224995416,1.0,2.0,0.5
1990-03-11,Mozambique,Lesotho,3,0,Friendly,False,1518.9786175089382,1467.3431062477405,3.0,0.0,0.5
1990-03-12,Algeria,Senegal,2,1,African Cup of Nations,False,1561.6422755425583,1525.9212107524436,2.6,1.8,0.5
1990-03-12,Nigeria,Zambia,2,0,African Cup of Nations,True,1514.9093165600789,1519.6907421824835,2.0,2.3333333333333335,0.5
1990-03-15,Senegal,Zambia,0,1,African Cup of Nations,True,1519.640300030142,1504.4843244757178,1.2,1.75,0.0
1990-03-16,Jamaica,Barbados,0,1,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-03-16,Algeria,Nigeria,1,0,African Cup of Nations,False,1567.92318626486,1530.1157342668446,2.6,2.0,1.0
1990-03-18,Jamaica,Barbados,1,0,Friendly,False,1487.1987000039423,1512.8012999960577,0.0,3.0,0.0
1990-03-20,Hungary,United States,2,0,Friendly,False,1500.0,1481.3522299838028,1.0,1.4,0.5
1990-03-20,Mexico,Uruguay,2,1,Friendly,True,1515.0,1530.181403919564,3.0,3.0,0.5
1990-03-24,Saint Kitts and Nevis,Antigua and Barbuda,3,1,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-03-27,Northern Ireland,Norway,2,3,Friendly,False,1500.0,1512.5339816333346,1.0,2.0,0.5
1990-03-28,Republic of Ireland,Wales,1,0,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-03-28,Spain,Austria,2,3,Friendly,False,1507.1987000039423,1502.7839499111076,3.0,1.0,0.5
1990-03-28,Poland,Yugoslavia,0,0,Friendly,False,1529.3398081067746,1500.0,2.3333333333333335,1.0,0.5
1990-03-28,Luxembourg,Iceland,1,2,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-03-28,England,Brazil,1,0,Friendly,False,1500.0,1500.0,1.0,1.0,0.5
1990-03-28,Scotland,Argentina,1,0,Friendly,False,1500.0,1485.0,1.0,0.0,0.5
1990-03-28,Greece,Israel,2,1,Friendly,False,1510.7980500059134,1500.0,3.0,1.0,0.5
1990-03-28,German DR,United States,3,2,Friendly,False,1496.0529748554145,1471.2844110138903,1.5,1.4,0.5
1990-03-28,Egypt,Romania,1,3,Friendly,False,1463.98847962571,1503.6797480527723,0.4,1.0,0.5
1990-03-28,Hungary,France,1,3,Friendly,False,1510.0678189699124,1536.0890815630678,3.0,3.0,0.5
1990-03-28,Russia,Netherlands,2,1,Friendly,False,1528.23572084301,1497.1987000039423,2.3333333333333335,1.0,0.5
1990-03-31,Switzerland,Italy,0,1,Friendly,False,1500.0,1502.8012999960577,1.0,1.0,0.5
1990-04-01,Zambia,Tanzania,2,0,Friendly,False,1514.9202720294693,1512.4077095800064,2.0,1.6666666666666667,0.5
1990-04-03,Bermuda,Iceland,0,4,Friendly,False,1486.6288704661324,1512.8012999960577,0.0,3.0,0.5
1990-04-03,Switzerland,Romania,2,1,Friendly,False,1487.2731673815858,1521.2576457155378,0.0,2.0,0.5
1990-04-04,Czechoslovakia,Egypt,0,1,Friendly,False,1492.8012999960577,1446.4105819629444,0.0,0.2,0.5
1990-04-08,United States,Iceland,4,1,Friendly,False,1464.7287342104314,1535.4766371100875,1.2,3.0,0.5
1990-04-11,Austria,Hungary,3,0,Friendly,False,1515.70192376327,1491.9213094850982,2.0,1.5,0.5
1990-04-11,Denmark,Turkey,1,0,Friendly,False,1505.53115035273,1500.0,1.0,1.0,0.5
1990-04-11,German DR,Egypt,2,0,Friendly,False,1502.6086516588734,1460.3912225464428,2.0,0.6,0.5
1990-04-11,Algeria,Sweden,1,1,Friendly,False,1574.152467898884,1514.1081767584362,3.0,1.3333333333333333,0.5
1990-04-14,Bermuda,Antigua and Barbuda,2,2,CFU Caribbean Cup qualification,False,1463.9535333521026,1489.2019499940866,0.0,0.0,0.5
1990-04-15,Barbados,Saint Lucia,1,0,CFU Caribbean Cup qualification,False,1504.9104899161143,1500.0,1.5,1.0,0.5
1990-04-16,Bermuda,Antigua and Barbuda,3,0,Friendly,False,1461.8346048213696,1491.3208785248196,0.3333333333333333,0.5,0.0
1990-04-17,Mexico,Colombia,2,0,Friendly,True,1525.436678047647,1488.0436525709306,3.0,0.6666666666666666,0.5
1990-04-17,Grenada,Curaçao,1,1,CFU Caribbean Cup qualification,False,1500.0,1500.0,1.0,1.0,0.5
